Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Pathway	RefSeq	KEGG	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
Q7V336	LEUC_PROMP	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuC PMM0256	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	469	PMM0256	PATHWAY: Amino-acid biosynthesis; L-leucine biosynthesis; L-leucine from 3-methyl-2-oxobutanoate: step 2/4. {ECO:0000255|HAMAP-Rule:MF_01026}.	WP_011131893.1	pmm:PMM0256;	leucine biosynthetic process [GO:0009098]	"3-isopropylmalate dehydratase activity [GO:0003861]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]"	
Q7V352	SYI_PROMP	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS PMM0238	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	965	PMM0238		WP_011131876.1	pmm:PMM0238;	isoleucyl-tRNA aminoacylation [GO:0006428]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]
Q7V364	AROC_PROMP	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC PMM0224	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	364	PMM0224	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 7/7. {ECO:0000255|HAMAP-Rule:MF_00300}.	WP_011131863.1	pmm:PMM0224;	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	chorismate synthase activity [GO:0004107]	
Q7V368	OBG_PROMP	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	obg PMM0218	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	327	PMM0218		WP_011131857.1	pmm:PMM0218;	ribosome biogenesis [GO:0042254]	ATP binding [GO:0005524]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]
Q7V369	Q7V369_PROMP	Endonuclease MutS2 (EC 3.1.-.-)	mutS mutS2 PMM0217	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	803	PMM0217		WP_011131856.1	pmm:PMM0217;	mismatch repair [GO:0006298]; negative regulation of DNA recombination [GO:0045910]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; endonuclease activity [GO:0004519]; mismatched DNA binding [GO:0030983]	
Q7V377	ENO_PROMP	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno PMM0208	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	430	PMM0208	PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 4/5. {ECO:0000255|HAMAP-Rule:MF_00318}.	WP_011131847.1	pmm:PMM0208;	glycolytic process [GO:0006096]	magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]
Q7V386	Q7V386_PROMP	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD PMM0199	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	389	PMM0199	"PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; orotate from (S)-dihydroorotate (quinone route): step 1/1. {ECO:0000256|ARBA:ARBA00005161, ECO:0000256|HAMAP-Rule:MF_00225}."	WP_011131838.1	pmm:PMM0199;	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]	dihydroorotate dehydrogenase (quinone) activity [GO:0106430]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q7V388	MURG_PROMP	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG PMM0197	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	364	PMM0197	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00033}.	WP_011131836.1	pmm:PMM0197;	carbohydrate metabolic process [GO:0005975]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; lipid glycosylation [GO:0030259]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	"UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity [GO:0051991]; undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity [GO:0050511]"	plasma membrane [GO:0005886]
Q7V395	MNME_PROMP	tRNA modification GTPase MnmE (EC 3.6.-.-)	mnmE trmE PMM0189	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	460	PMM0189		WP_011131828.1	pmm:PMM0189;	tRNA modification [GO:0006400]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
Q7V3B0	NDHH_PROMP	NAD(P)H-quinone oxidoreductase subunit H (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H)	ndhH PMM0172	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	395	PMM0172		WP_011131811.1	pmm:PMM0172;	"photosynthesis, light reaction [GO:0019684]"	"NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]"	plasma membrane-derived thylakoid membrane [GO:0031676]
Q7V3B6	Q7V3B6_PROMP	Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)	cysC PMM0166	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	208	PMM0166	"PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 2/3. {ECO:0000256|HAMAP-Rule:MF_00065, ECO:0000256|RuleBase:RU004347}."	WP_011131805.1	pmm:PMM0166;	hydrogen sulfide biosynthetic process [GO:0070814]; phosphorylation [GO:0016310]; sulfate assimilation [GO:0000103]	adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]	
Q7V3C1	NU1C_PROMP	NAD(P)H-quinone oxidoreductase subunit 1 (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit 1) (NDH-1 subunit 1) (NDH-A)	ndhA PMM0160	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	372	PMM0160			pmm:PMM0160;	"photosynthesis, light reaction [GO:0019684]"	"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]"	plasma membrane-derived thylakoid membrane [GO:0031676]
Q7V3C2	NADK1_PROMP	NAD kinase 1 (EC 2.7.1.23) (ATP-dependent NAD kinase 1)	nadK1 PMM0156	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	299	PMM0156			pmm:PMM0156;	NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NAD+ kinase activity [GO:0003951]	cytoplasm [GO:0005737]
Q7V3C6	Q7V3C6_PROMP	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Cyanobacterial UDP-glucose pyrophosphorylase) (UDP-glucose pyrophosphorylase) (UDP-Glc PPase)	cugP PMM0152	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	392	PMM0152		WP_011131791.1	pmm:PMM0152;	biosynthetic process [GO:0009058]; UDP-glucose metabolic process [GO:0006011]	magnesium ion binding [GO:0000287]; structural constituent of carboxysome shell [GO:0043886]; UTP binding [GO:0002134]; UTP:glucose-1-phosphate uridylyltransferase activity [GO:0003983]	carboxysome [GO:0031470]
Q7V3C8	NU4C_PROMP	"NAD(P)H-quinone oxidoreductase chain 4 (EC 7.1.1.-) (NAD(P)H dehydrogenase I, chain 4) (NDH-1, chain 4)"	ndhD PMM0150	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	546	PMM0150		WP_011131789.1	pmm:PMM0150;	ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]	plasma membrane-derived thylakoid membrane [GO:0031676]
Q7V3E0	FABH_PROMP	Beta-ketoacyl-[acyl-carrier-protein] synthase III (Beta-ketoacyl-ACP synthase III) (KAS III) (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase 3) (3-oxoacyl-[acyl-carrier-protein] synthase III)	fabH PMM0136	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	335	PMM0136	PATHWAY: Lipid metabolism; fatty acid biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01815}.	WP_011131775.1	pmm:PMM0136;	fatty acid biosynthetic process [GO:0006633]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; beta-ketoacyl-acyl-carrier-protein synthase III activity [GO:0033818]	cytoplasm [GO:0005737]
Q7V3E1	PLSX_PROMP	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX PMM0135	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	466	PMM0135	PATHWAY: Lipid metabolism; phospholipid metabolism.	WP_011131774.1	pmm:PMM0135;	fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]	phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]	cytoplasm [GO:0005737]
Q7V3F4	NDHO_PROMP	NAD(P)H-quinone oxidoreductase subunit O (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit O) (NDH-1 subunit O) (NDH-O)	ndhO PMM0121	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	80	PMM0121		WP_011131760.1	pmm:PMM0121;		"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]"	plasma membrane-derived thylakoid membrane [GO:0031676]
Q7V3G8	Q7V3G8_PROMP	Shikimate kinase (SK) (EC 2.7.1.71)	aroK PMM0107	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	185	PMM0107	"PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 5/7. {ECO:0000256|ARBA:ARBA00004842, ECO:0000256|HAMAP-Rule:MF_00109}."	WP_011131746.1	pmm:PMM0107;	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; shikimate kinase activity [GO:0004765]	cytoplasm [GO:0005737]
Q7V3H3	RIMO_PROMP	Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)	rimO PMM0102	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	454	PMM0102		WP_011131740.1	pmm:PMM0102;	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid [GO:0018339]; tRNA modification [GO:0006400]	"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; protein methylthiotransferase activity [GO:0103039]"	cytoplasm [GO:0005737]
Q7V3J4	Q7V3J4_PROMP	"Phosphoadenosine 5'-phosphosulfate reductase (PAPS reductase) (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)"	cysH PMM0081	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	240	PMM0081	PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 3/3. {ECO:0000256|HAMAP-Rule:MF_00063}.	WP_011131719.1	pmm:PMM0081;	"hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [GO:0019379]"	phosphoadenylyl-sulfate reductase (thioredoxin) activity [GO:0004604]	cytoplasm [GO:0005737]
Q7V3L8	Q7V3L8_PROMP	Chromosome partition protein Smc	smc PMM0057	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	1194	PMM0057			pmm:PMM0057;	chromosome condensation [GO:0030261]; DNA replication [GO:0006260]; sister chromatid cohesion [GO:0007062]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]	chromosome [GO:0005694]; cytoplasm [GO:0005737]
Q7V3M5	ARGJ_PROMP	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	argJ PMM0050	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	402	PMM0050	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; L-ornithine and N-acetyl-L-glutamate from L-glutamate and N(2)-acetyl-L-ornithine (cyclic): step 1/1. {ECO:0000255|HAMAP-Rule:MF_01106}.; PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate: step 1/4. {ECO:0000255|HAMAP-Rule:MF_01106}.		pmm:PMM0050;	arginine biosynthetic process [GO:0006526]	acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042]; glutamate N-acetyltransferase activity [GO:0004358]; methione N-acyltransferase activity [GO:0103045]	cytoplasm [GO:0005737]
Q7V3M6	COAE_PROMP	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	coaE PMM0049	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	204	PMM0049	PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 5/5. {ECO:0000255|HAMAP-Rule:MF_00376}.	WP_011131687.1	pmm:PMM0049;	coenzyme A biosynthetic process [GO:0015937]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; dephospho-CoA kinase activity [GO:0004140]	cytoplasm [GO:0005737]
Q7V3M8	NDK_PROMP	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk PMM0046	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	152	PMM0046		WP_011131684.1	pmm:PMM0046;	CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; nucleoside diphosphate phosphorylation [GO:0006165]; UTP biosynthetic process [GO:0006228]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]	cytoplasm [GO:0005737]
Q7V3N0	SYA_PROMP	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	alaS PMM0044	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	886	PMM0044		WP_011131682.1	pmm:PMM0044;	alanyl-tRNA aminoacylation [GO:0006419]	alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]
Q7V3N7	GUAA_PROMP	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	guaA PMM0037	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	528	PMM0037	PATHWAY: Purine metabolism; GMP biosynthesis; GMP from XMP (L-Gln route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00344}.	WP_011131675.1	pmm:PMM0037;	glutamine metabolic process [GO:0006541]	ATP binding [GO:0005524]; GMP synthase activity [GO:0003921]	
Q7V3P7	Q7V3P7_PROMP	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	thiL PMM0024	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	328	PMM0024	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis; thiamine diphosphate from thiamine phosphate: step 1/1. {ECO:0000256|HAMAP-Rule:MF_02128}.	WP_011131662.1	pmm:PMM0024;	phosphorylation [GO:0016310]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; thiamine-phosphate kinase activity [GO:0009030]	
Q7V3P8	MURC_PROMP	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC PMM0022	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	473	PMM0022	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00046}.	WP_011131660.1	pmm:PMM0022;	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]	cytoplasm [GO:0005737]
Q7V3P9	MURB_PROMP	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	murB PMM0021	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	296	PMM0021	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00037}.	WP_011131659.1	pmm:PMM0021;	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	FAD binding [GO:0071949]; UDP-N-acetylmuramate dehydrogenase activity [GO:0008762]	cytoplasm [GO:0005737]
Q7V3Q3	DNAJ_PROMP	Chaperone protein DnaJ	dnaJ PMM0017	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	374	PMM0017		WP_011131655.1	pmm:PMM0017;	DNA replication [GO:0006260]; protein folding [GO:0006457]; response to heat [GO:0009408]	ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]
Q7V3Q6	Q7V3Q6_PROMP	tRNA-dihydrouridine(20/20a) synthase (EC 1.3.1.91) (DusA-like U20-specific dihydrouridine synthase) (U20-specific Dus)	PMM0014	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	334	PMM0014		WP_011131652.1	pmm:PMM0014;		flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; tRNA binding [GO:0000049]; tRNA-dihydrouridine20 synthase activity [GO:0102264]	
Q7V3R5	PURL_PROMP	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)	purL PMM0003	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	779	PMM0003	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole from N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide: step 1/2. {ECO:0000255|HAMAP-Rule:MF_00420}.	WP_011131641.1	pmm:PMM0003;	'de novo' IMP biosynthetic process [GO:0006189]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]	cytoplasm [GO:0005737]
Q93P09	Q93P09_PROMP	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC PMM1158	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	460	PMM1158		WP_011132792.1	pmm:PMM1158;	photosynthetic electron transport in photosystem II [GO:0009772]	"chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; metal ion binding [GO:0046872]"	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]
Q93P10	Q93P10_PROMP	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD PMM1157	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	358	PMM1157		WP_011132791.1	pmm:PMM1157;	photosynthetic electron transport in photosystem II [GO:0009772]	"chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxygen evolving activity [GO:0010242]"	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]
Q9RC07	PSAB_PROMP	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	psaB PMM1523	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	742	PMM1523		WP_011133151.1	pmm:PMM1523;	photosynthesis [GO:0015979]	"4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]"	photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]
Q9RC08	PSAA_PROMP	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)	psaA PMM1524	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	767	PMM1524		WP_011133152.1	pmm:PMM1524;	photosynthesis [GO:0015979]	"4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]"	photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]
O67963	O67963_PROMP	Cytochrome b6	petB	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	116					photosynthesis [GO:0015979]; respiratory electron transport chain [GO:0022904]	electron transfer activity [GO:0009055]	membrane [GO:0016020]
P0A3A2	DNAA_PROMP	Chromosomal replication initiator protein DnaA	dnaA PMM0565	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	463	PMM0565		WP_011132199.1	pmm:PMM0565;	DNA replication initiation [GO:0006270]; regulation of DNA replication [GO:0006275]	ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]	cytoplasm [GO:0005737]
P59830	ASPA_PROMP	Probable aspartoacylase (EC 3.5.1.15)	PMM0222	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	295	PMM0222		WP_011131861.1	pmm:PMM0222;		"aspartoacylase activity [GO:0019807]; hydrolase activity, acting on ester bonds [GO:0016788]; zinc ion binding [GO:0008270]"	
P59882	TRUB_PROMP	tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	truB PMM1347	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	305	PMM1347		WP_011132981.1	pmm:PMM1347;	tRNA pseudouridine synthesis [GO:0031119]	RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]	
P59907	PSBY_PROMP	Photosystem II protein Y	psbY PMM1117	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	38	PMM1117		WP_011132750.1	pmm:PMM1117;	photosynthesis [GO:0015979]	manganese ion binding [GO:0030145]	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]
Q7TU16	Q7TU16_PROMP	DNA repair protein RecN (Recombination protein N)	recN PMM1713	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	559	PMM1713		WP_011133340.1	pmm:PMM1713;	DNA recombination [GO:0006310]; DNA repair [GO:0006281]	ATP binding [GO:0005524]	
Q7TU18	GCST_PROMP	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	gcvT PMM1687	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	370	PMM1687		WP_011133314.1	pmm:PMM1687;	glycine decarboxylation via glycine cleavage system [GO:0019464]	aminomethyltransferase activity [GO:0004047]; transaminase activity [GO:0008483]	
Q7TU19	MNMG_PROMP	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	mnmG gidA PMM1675	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	654	PMM1675		WP_011133302.1	pmm:PMM1675;	tRNA wobble uridine modification [GO:0002098]	flavin adenine dinucleotide binding [GO:0050660]	cytoplasm [GO:0005737]
Q7TU20	GCSH_PROMP	Glycine cleavage system H protein	gcvH PMM1669	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	129	PMM1669		WP_011133296.1	pmm:PMM1669;	glycine decarboxylation via glycine cleavage system [GO:0019464]		glycine cleavage complex [GO:0005960]
Q7TU23	Q7TU23_PROMP	Photosystem II reaction center protein Z	psbZ PMM1644	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	65	PMM1644		WP_011133271.1	pmm:PMM1644;	photosynthesis [GO:0015979]; photosystem II stabilization [GO:0042549]		photosystem II reaction center [GO:0009539]
